"Category","category_id","amount","time"
"保険・医療・福祉の充実に","1","176525202000","2015"
"子育ての支援に","2","96035408000","2015"
"道路・公園緑地・河川・下水道の整備と安全なまちづくりに","3","86299586000","2015"
"学校教育と生涯教育に","4","50570047000","2015"
"計画的なまちづくりに","5","34463973000","2015"
"行政運営に","6","33082551000","2015"
"地域経済の発展に","7","32571804000","2015"
"環境・リサイクルに","8","29635591000","2015"
"区政の振興に","9","17423520000","2015"
"港湾の整理に","10","15526517000","2015"
"共生と参加のまちづくりに","11","9097506000","2015"
"交通・水道の経営安定に","12","1906064000","2015"
"その他","13","35734272000","2015"
