Category,category_id,Subcategory,subcategory_id,amount,year
議会費,1,議会費,1,1695310000,2014
総務費,2,職員管理費,2,30197689000,2014
総務費,2,総務管理費,3,6744829000,2014
総務費,2,危機管理費,4,2697323000,2014
総務費,2,総合企画費,5,1434567000,2014
総務費,2,徴税費,6,5378357000,2014
総務費,2,選挙費,7,274716000,2014
総務費,2,統計調査費,8,198266000,2014
総務費,2,人事委員会費,9,128900000,2014
総務費,2,監査費,10,170710000,2014
市民費,3,市民生活費,11,6614152000,2014
こども費,4,こども青少年費,12,44000205000,2014
こども費,4,こども支援費,13,44371031000,2014
健康福祉費,5,健康福祉費,14,9440572000,2014
健康福祉費,5,社会福祉費,15,722593000,2014
健康福祉費,5,生活保護費,16,60948541000,2014
健康福祉費,5,老人福祉費,17,17132030000,2014
健康福祉費,5,障害者福祉費,18,29956654000,2014
健康福祉費,5,国民年金費,19,272747000,2014
健康福祉費,5,公衆衛生費,20,7450929000,2014
健康福祉費,5,公害保健費,21,2218777000,2014
健康福祉費,5,保健衛生施設費,22,851637000,2014
健康福祉費,5,保健所費,23,53620000,2014
健康福祉費,5,リハビリテーション医療センター費,24,174424000,2014
健康福祉費,5,看護短期大学費,25,491396000,2014
健康福祉費,5,施設整備費,26,1956055000,2014
環境費,6,環境管理費,27,1745952000,2014
環境費,6,公害対策費,28,1015360000,2014
環境費,6,ごみ処理費,29,12312282000,2014
環境費,6,し尿処理費,30,560274000,2014
環境費,6,施設費,31,5630563000,2014
経済労働費,7,産業経済費,32,1112036000,2014
経済労働費,7,商工業費,33,676685000,2014
経済労働費,7,中小企業支援費,34,32864778000,2014
経済労働費,7,農業費,35,263303000,2014
経済労働費,7,労政費,36,588211000,2014
建設緑政費,8,建設緑政管理費,37,2720619000,2014
建設緑政費,8,道路橋りょう費,38,10733090000,2014
建設緑政費,8,街路事業費,39,7792280000,2014
建設緑政費,8,広域道路費,40,104874000,2014
建設緑政費,8,河川費,41,2027468000,2014
建設緑政費,8,緑化費,42,368369000,2014
建設緑政費,8,自然保護対策費,43,1027013000,2014
建設緑政費,8,公園費,44,10070789000,2014
港湾費,9,港湾管理費,45,2688365000,2014
港湾費,9,港湾建設費,46,8262574000,2014
まちづくり費,10,まちづくり管理費,47,419656000,2014
まちづくり費,10,計画費,48,566423000,2014
まちづくり費,10,整備事業費,49,10785241000,2014
まちづくり費,10,建設管理費,50,2172046000,2014
まちづくり費,10,住宅費,51,11921252000,2014
区役所費,11,区政振興費,52,13637484000,2014
区役所費,11,戸籍住民基本台帳費,53,2064355000,2014
消防費,12,消防費,54,17719318000,2014
教育費,13,教育総務費,55,9668375000,2014
教育費,13,小学校費,56,6163057000,2014
教育費,13,中学校費,57,2567832000,2014
教育費,13,高等学校費,58,3696918000,2014
教育費,13,特別支援教育費,59,602461000,2014
教育費,13,社会教育費,60,2637735000,2014
教育費,13,体育保健費,61,2411881000,2014
教育費,13,教育施設整備費,62,16224719000,2014
公債費,14,公債費,63,72036418000,2014
諸支出金,15,繰出金,64,63180576000,2014
予備費,16,予備費,65,500000000,2014
