Category,category_id,Subcategory,subcategory_id,amount,year
"議会費","1","議会費","1-1","1695310000","2014"
"総務費","2","職員管理費","2-1","30197689000","2014"
"総務費","2","総務管理費","2-2","6744829000","2014"
"総務費","2","危機管理費","2-3","2697323000","2014"
"総務費","2","総合企画費","2-4","1434567000","2014"
"総務費","2","徴税費","2-5","5378357000","2014"
"総務費","2","選挙費","2-6","274716000","2014"
"総務費","2","統計調査費","2-7","198266000","2014"
"総務費","2","人事委員会費","2-8","128900000","2014"
"総務費","2","監査費","2-9","170710000","2014"
"市民費","3","市民生活費","3-1","6614152000","2014"
"こども費","4","こども青少年費","4-1","44000205000","2014"
"こども費","4","こども支援費","4-2","44371031000","2014"
"健康福祉費","5","健康福祉費","5-1","9440572000","2014"
"健康福祉費","5","社会福祉費","5-2","722593000","2014"
"健康福祉費","5","生活保護費","5-3","60948541000","2014"
"健康福祉費","5","老人福祉費","5-4","17132030000","2014"
"健康福祉費","5","障害者福祉費","5-5","29956654000","2014"
"健康福祉費","5","国民年金費","5-6","272747000","2014"
"健康福祉費","5","公衆衛生費","5-7","7450929000","2014"
"健康福祉費","5","公害保健費","5-8","2218777000","2014"
"健康福祉費","5","保健衛生施設費","5-9","851637000","2014"
"健康福祉費","5","保健所費","5-10","53620000","2014"
"健康福祉費","5","リハビリテーション医療センター費","5-11","174424000","2014"
"健康福祉費","5","看護短期大学費","5-12","491396000","2014"
"健康福祉費","5","施設整備費","5-13","1956055000","2014"
"環境費","6","環境管理費","6-1","1745952000","2014"
"環境費","6","公害対策費","6-2","1015360000","2014"
"環境費","6","ごみ処理費","6-3","12312282000","2014"
"環境費","6","し尿処理費","6-4","560274000","2014"
"環境費","6","施設費","6-5","5630563000","2014"
"経済労働費","7","産業経済費","7-1","1112036000","2014"
"経済労働費","7","商工業費","7-2","676685000","2014"
"経済労働費","7","中小企業支援費","7-3","32864778000","2014"
"経済労働費","7","農業費","7-4","263303000","2014"
"経済労働費","7","労政費","7-5","588211000","2014"
"建設緑政費","8","建設緑政管理費","8-1","2720619000","2014"
"建設緑政費","8","道路橋りょう費","8-2","10733090000","2014"
"建設緑政費","8","街路事業費","8-3","7792280000","2014"
"建設緑政費","8","広域道路費","8-4","104874000","2014"
"建設緑政費","8","河川費","8-5","2027468000","2014"
"建設緑政費","8","緑化費","8-6","368369000","2014"
"建設緑政費","8","自然保護対策費","8-7","1027013000","2014"
"建設緑政費","8","公園費","8-8","10070789000","2014"
"港湾費","9","港湾管理費","9-1","2688365000","2014"
"港湾費","9","港湾建設費","9-2","8262574000","2014"
"まちづくり費","10","まちづくり管理費","10-1","419656000","2014"
"まちづくり費","10","計画費","10-2","566423000","2014"
"まちづくり費","10","整備事業費","10-3","10785241000","2014"
"まちづくり費","10","建設管理費","10-4","2172046000","2014"
"まちづくり費","10","住宅費","10-5","11921252000","2014"
"区役所費","11","区政振興費","11-1","13637484000","2014"
"区役所費","11","戸籍住民基本台帳費","11-2","2064355000","2014"
"消防費","12","消防費","12-1","17719318000","2014"
"教育費","13","教育総務費","13-1","9668375000","2014"
"教育費","13","小学校費","13-2","6163057000","2014"
"教育費","13","中学校費","13-3","2567832000","2014"
"教育費","13","高等学校費","13-4","3696918000","2014"
"教育費","13","特別支援教育費","13-5","602461000","2014"
"教育費","13","社会教育費","13-6","2637735000","2014"
"教育費","13","体育保健費","13-7","2411881000","2014"
"教育費","13","教育施設整備費","13-8","16224719000","2014"
"公債費","14","公債費","14-1","72036418000","2014"
"諸支出金","15","繰出金","15-1","63180576000","2014"
"予備費","16","予備費","16-1","500000000","2014"
